net_store,city,address,name,regular_price,prom_price,discount,link_to_image
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Эконива 9% 300г,"159,99","114,99",28,https://img-dostavka.magnit.ru/resize/416x416/uf/b2e/b2e02ec44de29214aa8d5b778c09ec90/fd3022da485e074afaf1bda0bb4a2be3.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Модус Традиционное 82.5% 180г,"199,99","114,99",42,https://img-dostavka.magnit.ru/resize/416x416/uf/bd3/bd3e558b5e8c0bbb71fcacfd44cad623/1c7f117bb3a464a2612ba493e3eaf14b.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Магнит Крестьянское 72.5% 180г,"113,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/64b/64b8e4bcbabffcbe9c95baa447aeadbc/dec3c50d2e63f1dc31bcefd58d34272c.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Савушкин Традиционный 9% 300г,"112,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/379/3795000350a98a98a23942ba07a47a85/7fb35bda6411501238b554499c2b1a82.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко сгущенное Магнит вареное с сахаром 8.5% 360г,"112,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/271/271061d911a914c452543d53db01f501/7afd65bd90714cd4b7286f087dd676fc.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молочный коктейль Angelato сливки-карамель 2% 950г,"109,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/ec2/ec24eb5aa32e7bfd9a194383aa9bf1f5/edbda1a9016e18a61371ec4a2bac194e.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Славянские кружева рассыпчатый 9% 300г,"109,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/6de/6de26fe8615e6f83707a838d17bbf69a/26a14b18c1ce6e226c5e58b760ae8107.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Напиток овсяный Nemoloko Шоколадный 3.2% 1л,"129,99","109,99",15,https://img-dostavka.magnit.ru/resize/416x416/uf/26f/26f14875233fe3ab76d87a508374af37/cd7c3e9528b9d446237f0194c951c5aa.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко Главпродукт сгущенное с кокосом 270г,"139,99","109,99",21,https://img-dostavka.magnit.ru/resize/416x416/uf/9f0/9f062061a05b163217c49e2f0245b91d/2b1b091b06876643304745250aef9a0e.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Йогурт питьевой Фруате Черника Ежевика 1.5% 950мл,"139,99","109,99",21,https://img-dostavka.magnit.ru/resize/416x416/uf/24e/24e78315356e580dc0b94a61cd7c2a4b/3978b0f3332336a267ac5d8d41a0ba67.jpeg
